domain,kingdom,phylum,class,order,family,genus,species
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus japonicus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus nigrofuscus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus olivaceus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus tennentii
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus striatus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Naso,Naso vlamingii
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Paracanthurus,Paracanthurus hepatus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Zebrasoma,Zebrasoma scopas
Eukaryota,Metazoa,Chordata,Actinopteri,Centrarchiformes,Cirrhitidae,Neocirrhites,Neocirrhites armatus
Eukaryota,Metazoa,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon melannotus
Eukaryota,Metazoa,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Heniochus,Heniochus singularius
Eukaryota,Metazoa,Chordata,Actinopteri,Holocentriformes,Holocentridae,Myripristis,Myripristis berndti
Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Choerodon,Choerodon fasciatus
Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Labroides,Labroides dimidiatus
Eukaryota,Metazoa,Chordata,Actinopteri,Spariformes,Nemipteridae,Scolopsis,Scolopsis bilineata
Eukaryota,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Odonus,Odonus niger
Eukaryota,Metazoa,Chordata,Actinopteri,NA,Pomacanthidae,Centropyge,Centropyge loriculus
Eukaryota,Metazoa,Chordata,Actinopteri,NA,Pomacanthidae,Pomacanthus,Pomacanthus semicirculatus
Eukaryota,Metazoa,Chordata,Actinopteri,NA,Pomacentridae,Amblyglyphidodon,Amblyglyphidodon aureus
Eukaryota,Metazoa,Chordata,Actinopteri,NA,Pomacentridae,Amblyglyphidodon,Amblyglyphidodon leucogaster
Eukaryota,Metazoa,Chordata,Actinopteri,NA,Pomacentridae,Amphiprion,Amphiprion melanopus
Eukaryota,Metazoa,Chordata,Actinopteri,NA,Pomacentridae,Dascyllus,Dascyllus aruanus
Eukaryota,Metazoa,Chordata,Actinopteri,NA,Pseudochromidae,Pictichromis,Pictichromis diadema
Eukaryota,Metazoa,Chordata,Actinopteri,NA,Siganidae,Siganus,Siganus uspi
